Channel,BW(in MHz),MCS,Guard interval(in us)
1,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
2,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
3,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
4,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
5,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
6,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
7,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
8,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
9,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
10,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4
11,20/40/Adapt,0/1/2/3/4/5/6/7/Adapt,0.8/0.4